thesis_id,surface_age,northing,easting, zone, longitude, latitude,topo_feature,confidence,min_prof_faultdist,max_prof_faultdist,margin_only,XY_mean,XY_stdev,Z_mean,Z_stdev,T_mean,T_stdev,vert:lateral
B120,Qf6b,3986898,476085,11,-117.26544,36.02629,bar,2.5,1,5,n,1.5,0.24,0.14,0.05,1.51,0.214886016,0.09
B121,Qf6b,3986958,475931,11,-117.26715,36.02684,bar,2,2,7,n,1.54,0.22,0.03,0.02,1.54,0.197294197,0.02
B122,Qf6b,3985177,474038,11,-117.28809,36.01073,bar,2,1,5,n,0.94,0.18,0.03,0.02,0.94,0.157936696,0.04
B123,Qf6b,3985177,474037,11,-117.2881,36.01073,bar,2,1,5,y,1.1,0.17,0.1,0.02,1.11,0.156128152,0.09
B124,Qf6b,3986973,476109,11,-117.26517,36.02698,bar,2,1,5,n,1.32,0.16,0.08,0.08,1.33,0.139283883,0.06
B125,Qf6b,3986768,475777,11,-117.26885,36.02512,bar,1.5,1,5,n,0.81,0.15,0.06,0.04,0.82,0.137898513,0.07
B126,Qf6a,3986844,475837,11,-117.26819,36.02581,bar,2,1,5,n,0.79,0.22,0.06,0.01,0.8,0.19581624,0.07
B127,Qf6b,3986985,476057,11,-117.26575,36.02708,bar,2,3,7,y,1.47,0.33,0.1,0.02,1.47,0.289689489,0.07
B128,Qf6a,3986825,475842,11,-117.26813,36.02564,bar,2,2,8,n,1.46,0.24,0.17,0.02,1.47,0.216092573,0.11
B129,Qf6a,3986699,475719,11,-117.26949,36.02449,swale,2,1,5,n,0.67,0.07,0.07,0.06,0.67,0.056071383,0.1
B130,Qf6b,3986838,475927,11,-117.26719,36.02575,bar,3,1,5,n,1.02,0.17,0.04,0.01,1.02,0.15107614,0.04
B131,Qf6a,3986859,475954,11,-117.26688,36.02594,bar,1,1,5,n,1.62,0.05,0.11,0.04,1.62,0.047159304,0.07
B132,Qf6a,3986832,475897,11,-117.26752,36.0257,bar,2,1,5,n,1.34,0.19,0.03,0.02,1.34,0.174260342,0.02
B133,Qf6b,3985181,474037,11,-117.28811,36.01077,bar,1,1,5,n,2.02,0.28,0.08,0.02,2.02,0.254558441,0.04
B134,Qf6a,3986915,475913,11,-117.26734,36.02645,bar,2,1,5,y,1.13,0.15,0.02,0.01,1.13,0.131818056,0.01
B135,Qf6b,3985257,474068,11,-117.28777,36.01145,bar,3,1,5,n,2.25,0.37,0.08,0.06,2.25,0.328840387,0.04
B136,Qf6a,3986909,476104,11,-117.26523,36.0264,bar,1,1,5,n,2.14,0.42,0.1,0.05,2.15,0.369031164,0.05
B137,Qf6a,3986488,475564,11,-117.27121,36.02259,bar,3,1,5,n,1.28,0.17,0.16,0.01,1.29,0.15171025,0.12
B138,Qf6a,3986819,475923,11,-117.26723,36.02558,bar,2,7,13,y,2.21,0.24,0.17,0.08,2.22,0.210180874,0.08
B139,Qf6a,3986893,475892,11,-117.26757,36.02625,bar,2.5,1,5,y,0.92,0.36,0.06,0.07,0.93,0.326030673,0.06
B140,Qf6a,3986826,475924,11,-117.26722,36.02565,bar,2,1,5,y,1.06,0.11,0.02,0.01,1.06,0.10150862,0.02
B141,Qf6a,3986891,475991,11,-117.26647,36.02624,bar,2,1,5,y,1.68,0.27,0.03,0.03,1.68,0.242684981,0.02
